"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"300","13","","David Moore","SEA","WR100","6","209","393","281.8","33.5","293.0","-7.0"
"301","13","","Cameron Brate","TB","TE35","13","223","381","293.3","29.7","294.0","-7.0"
"302","13","","Daniel Carlson","LV","K22","6","197","332","300.5","19.2","",""
"303","13","","Brett Maher","NYJ","K23","11","188","342","294.1","26.4","",""
"304","13","","Lynn Bowden Jr.","LV","RB88","6","143","370","262.8","57.1","",""
"305","13","","Willie Snead","BAL","WR101","8","222","412","289.3","32.2","",""
"306","13","","Jakobi Meyers","NE","WR102","6","210","391","289.4","29.4","",""
"307","13","","Atlanta (ATL)","","DST25","10","195","334","303.1","18.7","",""
"308","13","","Devin Duvernay","BAL","WR103","8","128","411","285.6","46.2","",""
"309","13","","Nelson Agholor","LV","WR104","6","186","398","286.2","41.8","286.0","-23.0"
"310","13","","Detroit (DET)","","DST26","5","161","345","307.0","21.8","",""
"311","13","","Carolina (CAR)","","DST27","13","165","352","306.7","28.7","",""
"312","13","","Reggie Bonnafon","CAR","RB89","13","193","363","304.0","37.2","",""
"313","13","","Van Jefferson","LAR","WR105","9","141","413","294.4","35.4","298.0","-15.0"
"314","13","","Lamical Perine","NYJ","RB90","11","186","368","291.9","36.7","",""
"315","13","","Justin Herbert","LAC","QB35","10","131","364","310.4","41.4","177.0","-138.0"
"316","13","","Aldrick Rosas","FA","K24","","186","353","299.6","23.2","",""
"317","13","","Dustin Hopkins","WAS","K25","8","206","353","310.3","24.5","",""
"318","13","","Patrick Laird","MIA","RB91","11","225","393","308.3","32.7","",""
"319","13","","Chase McLaughlin","IND","K26","7","201","353","296.8","29.0","",""
"320","13","","Justin Rohrwasser","NE","K27","6","143","343","283.8","35.9","157.0","-163.0"
"321","13","","T.J. Yeldon","BUF","RB92","11","216","382","317.1","33.0","",""
"322","13","","Jordan Wilkins","IND","RB93","7","193","384","307.5","40.2","",""
"323","13","","DaeSean Hamilton","DEN","WR106","8","188","417","303.1","38.4","",""
"324","13","","Bo Scarbrough","DET","RB94","5","232","380","316.6","32.8","",""
"325","13","","Darren Fells","HOU","TE36","8","173","325","278.0","35.9","",""
"326","13","","Qadree Ollison","ATL","RB95","10","195","392","320.8","32.9","",""
"327","13","","Stephen Gostkowski","FA","K28","","189","336","248.6","47.0","279.0","-48.0"
"328","13","","Keke Coutee","HOU","WR107","8","147","418","303.6","38.1","",""
"329","13","","DeeJay Dallas","SEA","RB96","6","144","375","303.8","39.1","",""
"330","13","","Wayne Gallman","NYG","RB97","11","231","387","318.5","31.1","",""
"331","14","","Derrius Guice","FA","RB98","","66","354","181.3","101.5","143.0","-188.0"
"332","14","","Trey Burton","IND","TE37","7","160","388","297.5","35.2","296.0","-36.0"
"333","14","","Jarrett Stidham","NE","QB36","6","132","385","321.4","33.2","271.0","-62.0"
"334","14","","Las Vegas (LV)","","DST28","6","167","355","313.5","28.5","",""
"335","14","","Arizona (ARI)","","DST29","8","163","346","312.4","20.9","",""
"336","14","","Randy Bullock","CIN","K29","9","146","346","314.8","18.6","",""
"337","14","","Myles Gaskin","MIA","RB99","11","250","386","322.6","29.2","",""
"338","14","","Greg Ward","PHI","WR108","9","169","425","310.5","49.2","",""
"339","14","","Travis Homer","SEA","RB100","6","252","386","325.4","27.9","",""
"340","14","","Jordan Akins","HOU","TE38","8","246","361","300.6","28.9","",""
"341","14","","Jacob Hollister","SEA","TE39","6","232","391","297.1","41.3","289.0","-52.0"
"342","14","","Ted Ginn","CHI","WR109","11","202","423","313.9","38.7","",""
"343","14","","Eno Benjamin","ARI","RB101","8","146","385","307.2","51.0","",""
"344","14","","C.J. Uzomah","CIN","TE40","9","226","367","295.8","37.9","",""
"345","14","","Antonio Brown","FA","WR110","","52","424","273.0","63.3","196.0","-149.0"
"346","14","","Jeff Wilson","SF","RB102","11","155","379","313.8","32.7","",""
"347","14","","Jameis Winston","NO","QB37","6","135","391","331.1","38.8","",""
"348","14","","Marcus Mariota","LV","QB38","6","134","385","327.5","47.4","",""
"349","14","","Dante Pettis","SF","WR111","11","81","432","306.8","42.0","",""
"350","14","","Taysom Hill","NO","QB39","6","110","385","318.3","54.8","",""
"351","14","","Keelan Cole","JAC","WR112","7","241","431","320.4","36.8","",""
"352","14","","Devin Asiasi","NE","TE41","6","171","365","311.1","45.6","",""
"353","14","","Kalen Ballage","MIA","RB103","11","125","387","321.6","42.1","",""
"354","14","","Cole Kmet","CHI","TE42","11","191","383","327.1","30.3","",""
"355","14","","Dan Arnold","ARI","TE43","8","153","402","297.0","51.3","",""
"356","14","","Josh Gordon","FA","WR113","","192","310","282.6","23.8","",""
"357","14","","Jason Witten","LV","TE44","6","159","376","323.9","38.2","",""
"358","14","","Miami (MIA)","","DST30","11","159","347","301.9","33.2","",""
"359","14","","Nick Boyle","BAL","TE45","8","232","400","312.2","38.1","",""
"360","14","","Olabisi Johnson","MIN","WR114","7","204","390","306.1","44.4","",""
"361","14","","Kai Forbath","FA","K30","","193","371","305.4","31.7","",""
"362","14","","Justin Watson","TB","WR115","13","270","380","328.0","28.0","",""
"363","14","","Tajae Sharpe","MIN","WR116","7","243","371","307.8","30.2","",""
"364","14","","New York (NYG)","","DST31","11","166","355","325.5","21.2","",""
"365","14","","Ryan Griffin","NYJ","TE46","11","177","389","331.4","24.2","",""
"366","14","","Mike Davis","CAR","RB104","13","189","416","333.6","39.6","",""
"367","14","","Ty Johnson","DET","RB105","5","257","377","328.9","26.4","",""
"368","14","","Adam Vinatieri","FA","K31","","249","374","316.0","24.7","",""
"369","14","","Tyler Johnson","TB","WR117","13","264","379","330.4","26.4","",""
"370","14","","Trayveon Williams","CIN","RB106","9","185","386","337.8","37.9","",""
"371","14","","Cincinnati (CIN)","","DST32","9","139","355","321.5","40.0","",""
"372","14","","Ty Montgomery","NO","RB107","6","246","382","332.6","29.1","",""
"373","14","","Jakeem Grant","MIA","WR118","11","226","365","302.2","32.5","",""
"374","14","","Andy Dalton","DAL","QB40","10","136","397","341.9","38.6","",""
"375","14","","Josh Oliver","JAC","TE47","7","255","373","331.5","26.3","",""
"376","14","","Corey Clement","PHI","RB108","9","245","369","329.0","31.7","",""
"377","14","","Eddy Pineiro","CHI","K32","11","252","368","311.5","30.2","",""
"378","14","","Greg Joseph","TEN","K33","7","228","340","298.6","26.4","",""
"379","14","","Jalen Hurts","PHI","QB41","9","138","387","333.5","43.8","",""
"380","14","","Demaryius Thomas","FA","WR119","","221","300","253.0","26.1","",""
"381","14","","Paul Richardson Jr.","FA","WR120","","240","316","278.9","19.4","",""
"382","14","","KeeSean Johnson","ARI","WR121","8","246","376","336.7","28.8","",""
"383","14","","Taylor Gabriel","FA","WR122","","206","433","293.0","65.9","",""
"384","14","","Dontrell Hilliard","CLE","RB109","9","255","382","340.3","27.3","",""
"385","14","","Trent Taylor","SF","WR123","11","224","435","329.2","52.4","",""
"386","14","","Jason Sanders","MIA","K34","11","228","353","314.1","23.5","",""
"387","14","","Jeremy Sprinkle","WAS","TE48","8","273","421","335.5","34.2","",""
"388","15","","Dexter Williams","GB","RB110","5","263","386","335.7","34.1","",""
"389","15","","Zay Jones","LV","WR124","6","183","378","335.8","31.8","",""
"390","15","","Jacoby Brissett","IND","QB42","7","137","396","340.1","28.5","",""
"391","15","","Cordarrelle Patterson","CHI","WR125","11","223","383","323.1","42.6","",""
"392","15","","Delanie Walker","FA","TE49","","260","401","318.4","36.9","",""
"393","15","","Isaiah Ford","MIA","WR126","11","213","396","306.1","55.0","",""
"394","15","","Scott Miller","TB","WR127","13","261","378","335.9","34.0","",""
"395","15","","Rashard Higgins","CLE","WR128","9","290","377","345.9","27.9","",""
"396","15","","J.D. McKissic","WAS","RB111","8","195","357","315.2","38.1","",""
"397","15","","Kerrith Whyte Jr.","PIT","RB112","8","265","368","334.5","28.6","",""
"398","15","","Devontae Booker","LV","RB113","6","190","364","318.7","32.8","",""
"399","15","","Bilal Powell","FA","RB114","","255","392","332.4","32.9","",""
"400","15","","Kyle Juszczyk","SF","RB115","11","290","364","333.1","20.1","",""
"401","15","","Foster Moreau","LV","TE50","6","279","407","345.0","27.5","",""
"402","15","","Jake Kumerow","GB","WR129","5","267","378","339.4","30.1","",""
"403","15","","Trey Quinn","WAS","WR130","8","197","395","316.7","53.3","",""
"404","15","","Equanimeous St. Brown","GB","WR131","5","207","377","313.0","43.3","",""
"405","15","","Quintez Cephus","DET","WR132","5","220","390","334.8","29.3","",""
"406","15","","Sam Sloman","LAR","K35","9","233","369","307.3","34.3","",""
"407","15","","Adam Trautman","NO","TE51","6","239","404","350.1","24.8","",""
"408","15","","C.J. Anderson","FA","RB116","","255","392","337.5","30.4","",""
"409","15","","Hakeem Butler","ARI","WR133","8","269","373","343.3","31.0","",""
"410","15","","Raymond Calais","TB","RB117","13","235","370","332.6","35.2","",""
"411","15","","JaMycal Hasty","SF","RB118","11","230","373","335.1","35.5","",""
"412","15","","Thaddeus Moss","WAS","TE52","8","226","426","316.6","62.5","",""
"413","15","","Logan Thomas","WAS","TE53","8","286","429","337.9","39.4","",""
"414","15","","Chandler Catanzaro","FA","K36","","155","341","303.7","57.3","",""
"415","15","","Javon Wims","CHI","WR134","11","299","384","357.8","17.7","",""
"416","15","","Albert Okwuegbunam","DEN","TE54","8","241","422","349.5","27.2","",""
"417","15","","Jordan Reed","SF","TE55","11","282","390","337.3","24.7","",""
"418","15","","Damiere Byrd","NE","WR135","6","295","390","356.4","26.4","",""
"419","15","","Devine Ozigbo","JAC","RB119","7","201","379","338.7","32.5","",""
"420","15","","Kaden Smith","NYG","TE56","11","295","419","353.3","28.7","",""
"421","15","","Anthony Firkser","TEN","TE57","7","260","430","350.4","31.1","",""
"422","15","","Dalton Keene","NE","TE58","6","325","393","354.5","19.8","",""
"423","15","","Kahale Warring","HOU","TE59","8","173","376","303.8","51.4","",""
"424","15","","Rodney Anderson","FA","RB120","","270","367","323.2","30.8","",""
"425","15","","Donovan Peoples-Jones","CLE","WR136","9","262","395","365.3","28.9","",""
"426","15","","Kalif Raymond","TEN","WR137","7","279","394","337.6","38.4","",""
"427","15","","Ryan Nall","CHI","RB121","11","312","387","356.1","21.5","",""
"428","15","","Drew Sample","CIN","TE60","9","342","427","366.8","23.6","",""
"429","15","","Kyle Allen","WAS","QB43","8","133","391","341.3","29.7","",""
"430","15","","Ricky Seals-Jones","KC","TE61","10","299","428","363.5","29.5","",""
"431","15","","Maxx Williams","ARI","TE62","8","291","385","360.6","33.1","",""
"432","15","","Mo Alie-Cox","IND","TE63","7","298","369","351.4","8.5","",""
"433","15","","Sam Ficken","NYJ","K37","11","294","377","327.6","28.1","",""
"434","15","","Joe Reed","LAC","WR138","10","297","388","347.7","33.9","",""
"435","15","","Jordan Love","GB","QB44","5","139","385","312.0","100.9","",""
"436","15","","Robert Foster","BUF","WR139","11","205","389","315.0","70.5","",""
"437","15","","Gary Jennings Jr.","MIA","WR140","11","212","370","297.7","65.2","",""
"438","15","","K.J. Hill","LAC","WR141","10","285","395","362.3","25.1","",""
"439","15","","Josh Hill","NO","TE64","6","303","381","346.6","25.1","",""
"440","15","","Salvon Ahmed","SF","RB122","11","181","361","271.0","90.0","",""
"441","15","","Case Keenum","CLE","QB45","9","292","388","338.8","39.5","",""
"442","16","","Graham Gano","NYG","K38","11","260","324","292.0","32.0","",""
"443","16","","Elijah Holyfield","PHI","RB123","9","330","363","345.8","13.0","",""
"444","16","","Jesse James","DET","TE65","5","339","366","357.6","9.0","",""
"445","16","","Robert Tonyan","GB","TE66","5","281","381","331.3","40.8","",""
"446","16","","Tyler Bass","BUF","K39","11","271","326","298.5","27.5","",""
"447","16","","Laquon Treadwell","ATL","WR142","10","293","372","365.2","7.7","",""
"448","16","","John Kelly","LAR","RB124","9","314","387","350.3","26.4","",""
"449","16","","Jordan Scarlett","CAR","RB125","13","311","391","360.0","22.7","",""
"450","16","","Dalton Schultz","DAL","TE67","10","267","381","335.0","49.1","",""
"451","16","","Dalyn Dawkins","FA","RB126","","341","372","360.4","10.9","",""
"452","16","","Nick Vannett","DEN","TE68","8","272","383","351.3","46.0","",""
"453","16","","James Robinson","JAC","RB127","7","267","414","343.7","60.2","",""
"454","16","","Ameer Abdullah","MIN","RB128","7","326","357","341.0","12.7","",""
"455","16","","James O'Shaughnessy","JAC","TE69","7","311","374","342.0","25.7","",""
"456","16","","Brycen Hopkins","LAR","TE70","9","272","359","315.5","43.5","",""
"457","16","","Adam Shaheen","MIA","TE71","11","306","325","315.5","9.5","",""
"458","16","","Buddy Howell","HOU","RB129","8","337","379","356.8","16.1","",""
"459","16","","Dontrelle Inman","WAS","WR143","8","311","377","344.7","27.0","",""
"460","16","","Marvin Hall","DET","WR144","5","311","328","319.5","8.5","",""
"461","16","","Karan Higdon","HOU","RB130","8","357","364","359.5","2.7","",""
"462","16","","James Proche","BAL","WR145","8","308","383","350.0","31.3","",""
"463","16","","J.J. Taylor","NE","RB131","6","319","381","351.0","25.4","",""
"464","16","","Jaeden Graham","ATL","TE72","10","267","434","383.0","24.0","",""
"465","16","","Corey Coleman","NYG","WR146","11","303","378","352.3","34.9","",""
"466","16","","Tim Patrick","DEN","WR147","8","350","383","363.8","12.0","",""
"467","16","","Elijah McGuire","KC","RB132","10","282","380","331.0","49.0","",""
"468","16","","Riley Ridley","CHI","WR148","11","346","385","375.7","6.7","",""
"469","16","","Joe Flacco","NYJ","QB46","11","294","372","333.0","39.0","",""
"470","16","","Dwayne Washington","NO","RB133","6","353","359","355.0","2.8","",""
"471","16","","Hunter Bryant","DET","TE73","5","293","375","334.0","41.0","",""
"472","16","","Gabriel Davis","BUF","WR149","11","348","380","366.3","12.2","",""
"473","16","","CJ Ham","MIN","RB134","7","283","387","335.0","52.0","",""
"474","16","","Devin Smith","DAL","WR150","10","336","384","367.5","18.6","",""
"475","16","","Mack Hollins","MIA","WR151","11","304","375","339.5","35.5","",""
"476","16","","Demetrius Harris","CHI","TE74","11","324","356","340.0","16.0","",""
"477","16","","Vyncint Smith","NYJ","WR152","11","333","349","341.0","8.0","",""
"478","16","","Josh Rosen","MIA","QB47","11","320","367","343.5","23.5","",""
"479","16","","Isaiah Coulter","HOU","WR153","8","346","371","361.7","11.1","",""
"480","16","","Ross Dwelley","SF","TE75","11","344","374","363.0","13.5","",""
"481","16","","Josh Adams","NYJ","RB135","11","312","388","350.0","38.0","",""
"482","16","","John Hightower","PHI","WR154","9","333","367","350.0","17.0","",""
"483","16","","Taquan Mizzell","FA","RB136","","310","403","356.5","46.5","",""
"484","16","","Trey Edmunds","PIT","RB137","8","340","375","357.5","17.5","",""
"485","16","","Wendell Smallwood","PIT","RB138","8","327","389","358.0","31.0","",""
"486","16","","Andy Janovich","CLE","RB139","9","331","390","360.5","29.5","",""
"487","16","","Alex Smith","WAS","QB48","8","358","367","362.5","4.5","",""
"488","16","","Tyler Kroft","BUF","TE76","11","367","394","380.8","10.8","",""
"489","16","","Isaiah McKenzie","BUF","WR155","11","364","369","366.5","2.5","",""
"490","16","","Taiwan Jones","BUF","RB140","11","344","408","376.0","32.0","",""
"491","16","","John Ursua","SEA ","WR156","6","377","385","380.0","3.6","",""
"492","16","","D'Ernest Johnson","CLE","RB141","9","345","409","377.0","32.0","",""
"493","16","","Damion Ratley","CLE","WR157","9","371","389","381.0","7.5","",""
"494","16","","Khari Blasingame","TEN","RB142","7","363","397","382.0","14.2","",""
"495","16","","Richard Rodgers","WAS","TE77","8","370","379","374.5","4.5","",""
"496","16","","Alex Erickson","CIN","WR158","9","375","375","375.0","0.0","",""
"497","16","","Seth Roberts","CAR","WR159","13","374","390","382.7","6.6","",""
"498","16","","Robert Griffin","BAL","QB49","8","371","397","383.0","10.7","",""
"499","16","","Trenton Cannon","CAR","RB143","13","370","406","387.0","14.8","",""
"500","16","","Elijhaa Penny","NYG","RB144","11","362","394","378.0","16.0","",""
"501","16","","Alec Ingold","LV","RB145","6","364","392","378.0","14.0","",""
"502","16","","David Fluellen","FA","RB146","","361","405","383.0","22.0","",""
"503","16","","Kenneth Dixon","FA","RB147","","380","382","381.0","1.0","",""
""
""
