"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"68","7","","Jarvis Landry","CLE","WR31","9","41","114","70.3","9.6","69.0","+1.0"
"69","7","","D'Andre Swift","DET","RB27","5","9","153","71.5","18.0","62.0","-7.0"
"70","7","","Tyler Boyd","CIN","WR32","9","37","137","75.5","12.8","74.0","+4.0"
"71","7","","Josh Allen","BUF","QB7","11","59","116","76.0","11.6","68.0","-3.0"
"72","7","","Cam Akers","LAR","RB28","9","34","161","74.1","19.1","64.0","-8.0"
"73","7","","Matt Ryan","ATL","QB8","10","59","116","78.6","10.5","75.0","+2.0"
"74","7","","Kareem Hunt","CLE","RB29","9","41","143","79.0","12.8","71.0","-3.0"
"75","7","","Marvin Jones","DET","WR33","5","52","124","79.3","11.9","101.0","+26.0"
"76","7","","Julian Edelman","NE","WR34","6","41","182","79.3","16.6","82.0","+6.0"
"77","7","","Ronald Jones II","TB","RB30","13","27","167","79.9","18.8","84.0","+7.0"
"78","7","","Evan Engram","NYG","TE6","11","46","195","81.7","27.1","77.0","-1.0"
"79","7","","Will Fuller","HOU","WR35","8","46","279","84.3","28.7","94.0","+15.0"
"80","7","","Brandin Cooks","HOU","WR36","8","45","188","85.0","19.4","86.0","+6.0"
"81","7","","Hunter Henry","LAC","TE7","10","46","197","85.1","25.5","78.0","-3.0"
"82","7","","Carson Wentz","PHI","QB9","9","61","116","88.5","12.1","81.0","-1.0"
"83","7","","Tyler Higbee","LAR","TE8","9","26","196","89.3","28.2","92.0","+9.0"
"84","7","","Jordan Howard","MIA","RB31","11","57","176","89.7","16.3","89.0","+5.0"
"85","7","","Drew Brees","NO","QB10","6","52","131","91.2","12.8","73.0","-12.0"
"86","7","","J.K. Dobbins","BAL","RB32","8","51","185","92.9","20.5","83.0","-3.0"
"87","8","","Tom Brady","TB","QB11","13","68","153","97.0","13.0","85.0","-2.0"
"88","8","","Jared Cook","NO","TE9","6","53","211","98.3","28.9","90.0","+2.0"
"89","8","","John Brown","BUF","WR37","11","50","208","98.7","22.9","110.0","+21.0"
"90","8","","Diontae Johnson","PIT","WR38","8","41","194","98.9","20.2","112.0","+22.0"
"91","8","","Matthew Stafford","DET","QB12","5","44","172","99.6","12.1","104.0","+13.0"
"92","8","","Tevin Coleman","SF","RB33","11","60","186","100.0","15.2","119.0","+27.0"
"93","8","","Mike Williams","LAC","WR39","10","49","192","97.8","24.4","106.0","+13.0"
"94","8","","Marlon Mack","IND","RB34","7","42","196","102.2","25.6","93.0","-1.0"
"95","8","","Matt Breida","MIA","RB35","11","75","169","102.9","16.0","111.0","+16.0"
"96","8","","Aaron Rodgers","GB","QB13","5","55","167","103.0","15.3","76.0","-20.0"
"97","8","","Phillip Lindsay","DEN","RB36","8","51","177","104.2","20.2","103.0","+6.0"
"98","8","","Christian Kirk","ARI","WR40","8","58","196","101.5","24.3","100.0","+2.0"
"99","8","","Darius Slayton","NYG","WR41","11","58","203","103.3","24.2","107.0","+8.0"
"100","8","","Kerryon Johnson","DET","RB37","5","31","162","106.7","19.3","88.0","-12.0"
"101","8","","James White","NE","RB38","6","51","198","110.5","18.2","98.0","-3.0"
"102","8","","Hayden Hurst","ATL","TE10","10","18","266","105.4","33.7","129.0","+27.0"
"103","8","","Jamison Crowder","NYJ","WR42","11","64","220","108.9","28.2","122.0","+19.0"
"104","8","","Latavius Murray","NO","RB39","6","67","227","112.9","20.0","132.0","+28.0"
"105","8","","Rob Gronkowski","TB","TE11","13","46","257","105.1","30.9","79.0","-26.0"
"106","8","","Deebo Samuel","SF","WR43","11","64","294","107.9","36.4","80.0","-26.0"
"107","8","","Sony Michel","NE","RB40","6","59","182","111.2","24.8","87.0","-20.0"
"108","8","","Daniel Jones","NYG","QB14","11","60","191","118.1","19.2","105.0","-3.0"
"109","8","","Emmanuel Sanders","NO","WR44","6","55","210","112.1","23.9","99.0","-10.0"
"110","8","","CeeDee Lamb","DAL","WR45","10","64","297","112.4","35.1","91.0","-19.0"
"111","8","","Ben Roethlisberger","PIT","QB15","8","68","178","118.7","13.3","125.0","+14.0"
"112","8","","Anthony Miller","CHI","WR46","11","73","216","116.9","25.5","150.0","+38.0"
"113","8","","Austin Hooper","CLE","TE12","9","53","204","117.8","24.2","95.0","-18.0"
"114","8","","Sterling Shepard","NYG","WR47","11","79","285","112.9","28.7","121.0","+7.0"
"115","8","","Mike Gesicki","MIA","TE13","11","53","258","119.9","33.9","128.0","+13.0"
"116","8","","Jared Goff","LAR","QB16","9","61","197","125.0","18.1","116.0","0.0"
"117","9","","Alexander Mattison","MIN","RB41","7","54","205","126.0","18.3","126.0","+9.0"
"118","9","","Cam Newton","NE","QB17","6","68","328","123.7","36.0","171.0","+53.0"
"119","9","","Darrell Henderson","LAR","RB42","9","76","270","126.7","23.0","134.0","+15.0"
"120","9","","Tarik Cohen","CHI","RB43","11","88","177","126.9","17.5","113.0","-7.0"
"121","9","","Baker Mayfield","CLE","QB18","9","90","193","128.4","20.7","102.0","-19.0"
"122","9","","Noah Fant","DEN","TE14","8","68","236","126.3","25.4","108.0","-14.0"
"123","9","","Ryan Tannehill","TEN","QB19","7","69","198","130.1","20.3","123.0","0.0"
"124","9","","Zack Moss","BUF","RB44","11","76","329","125.0","36.4","135.0","+11.0"
"125","9","","Adrian Peterson","WAS","RB45","8","64","312","128.7","32.7","151.0","+26.0"
"126","9","","Ke'Shawn Vaughn","TB","RB46","13","60","333","127.1","39.4","96.0","-30.0"
"127","9","","Golden Tate","NYG","WR48","11","61","243","131.6","27.2","124.0","-3.0"
"128","9","","Jonnu Smith","TEN","TE15","7","69","281","132.0","28.5","145.0","+17.0"
"129","9","","T.J. Hockenson","DET","TE16","5","78","213","135.4","20.9","115.0","-14.0"
"130","9","","Preston Williams","MIA","WR49","11","72","264","129.7","26.3","144.0","+14.0"
"131","9","","Mecole Hardman","KC","WR50","10","75","205","125.7","29.2","130.0","-1.0"
"132","9","","Dallas Goedert","PHI","TE17","9","68","253","137.7","25.6","137.0","+5.0"
"133","9","","Duke Johnson","HOU","RB47","8","92","225","141.5","21.8","146.0","+13.0"
"134","9","","Joe Burrow","CIN","QB20","9","66","283","141.7","29.0","114.0","-20.0"
"135","9","","Jalen Reagor","PHI","WR51","9","73","303","133.3","42.9","133.0","-2.0"
"136","9","","Tony Pollard","DAL","RB48","10","99","235","142.8","19.3","154.0","+18.0"
"137","9","","Jerry Jeudy","DEN","WR52","8","72","310","133.9","36.6","97.0","-40.0"
"138","9","","Boston Scott","PHI","RB49","9","81","346","148.2","34.4","160.0","+22.0"
"139","9","","Breshad Perriman","NYJ","WR53","11","82","239","141.1","28.4","139.0","0.0"
"140","9","","Curtis Samuel","CAR","WR54","13","80","236","141.3","30.0","165.0","+25.0"
"141","9","","Blake Jarwin","DAL","TE18","10","78","290","146.4","32.1","163.0","+22.0"
"142","9","","Henry Ruggs III","LV","WR55","6","62","305","138.1","40.1","118.0","-24.0"
"143","9","","Kirk Cousins","MIN","QB21","7","87","250","151.2","23.4","136.0","-7.0"
"144","9","","Chase Edmonds","ARI","RB50","8","83","243","153.8","27.8","172.0","+28.0"
"145","9","","Justin Jefferson","MIN","WR56","7","72","316","140.3","40.9","109.0","-36.0"
"146","9","","Jimmy Garoppolo","SF","QB22","11","64","254","158.1","26.9","131.0","-15.0"
"147","9","","Jack Doyle","IND","TE19","7","91","245","155.6","24.1","156.0","+9.0"
"148","9","","Robby Anderson","CAR","WR57","13","66","208","144.9","29.8","138.0","-10.0"
"149","9","","San Francisco (SF)","","DST1","11","78","320","142.7","21.0","120.0","-29.0"
"150","9","","N'Keal Harry","NE","WR58","6","64","274","151.5","31.8","155.0","+5.0"
"151","10","","Antonio Gibson","WAS","RB51","8","62","361","140.7","58.0","183.0","+32.0"
"152","10","","Gardner Minshew II","JAC","QB23","7","73","343","160.3","31.2","162.0","+10.0"
"153","10","","Chris Herndon IV","NYJ","TE20","11","94","260","157.9","31.4","181.0","+28.0"
"154","10","","Eric Ebron","PIT","TE21","8","94","234","154.3","25.9","173.0","+19.0"
